Date,Price,High,Low,Close,Adj Close,Vol.
3-Jan-06,7753.970215,7916.470215,7753.970215,7912.410156,7912.410156,2554570000
4-Jan-06,7912.399902,7967.060059,7911.120117,7962.939941,7962.939941,2515330000
5-Jan-06,7962.939941,7965.930176,7928.589844,7944.060059,7944.060059,2433340000
6-Jan-06,7944.060059,8036.990234,7944.060059,8031.660156,8031.660156,2446560000
9-Jan-06,8031.689941,8055.580078,8026.02002,8053.419922,8053.419922,2301490000
10-Jan-06,8053.419922,8053.419922,7993.790039,8030.589844,8030.589844,2373080000
11-Jan-06,8030.589844,8068.169922,8027.379883,8063.509766,8063.509766,2406130000
12-Jan-06,8063.47998,8064.700195,8003.47998,8008.089844,8008.089844,2318350000
13-Jan-06,8008.200195,8026.560059,7998.890137,8025.939941,8025.939941,2206510000
17-Jan-06,8025.930176,8025.930176,7964.649902,7992.600098,7992.600098,2179970000
18-Jan-06,7992.560059,7992.560059,7915.529785,7953.009766,7953.009766,2233200000
19-Jan-06,7953.629883,8028.919922,7953.629883,8018.220215,8018.220215,2444020000
20-Jan-06,8018.220215,8018.890137,7901.399902,7902.27002,7902.27002,2845810000
23-Jan-06,7902.379883,7968.589844,7902.379883,7953.919922,7953.919922,2256070000
24-Jan-06,7953.919922,7992.540039,7951.700195,7973.02002,7973.02002,2608720000
25-Jan-06,7973.02002,8009.180176,7943.169922,7969.490234,7969.490234,2617060000
26-Jan-06,7969.490234,8051.709961,7969.490234,8044,8044,2856780000
27-Jan-06,8044.089844,8118.040039,8043.120117,8096.140137,8096.140137,2623620000
30-Jan-06,8096.140137,8117.600098,8091.990234,8105.25,8105.25,2282730000
31-Jan-06,8105.25,8130.189941,8084.47998,8106.549805,8106.549805,2708310000
1-Feb-06,8106.450195,8126.870117,8091.720215,8112.220215,8112.220215,2589410000
2-Feb-06,8112.220215,8112.220215,8021.660156,8038,8038,2565300000
3-Feb-06,8037.950195,8037.950195,7968.779785,8001.399902,8001.399902,2282210000
6-Feb-06,8001.410156,8025.350098,7996.240234,8019.870117,8019.870117,2132360000
7-Feb-06,8019.890137,8019.890137,7925.850098,7932.5,7932.5,2366370000
8-Feb-06,7932.5,7978.629883,7912.720215,7974.910156,7974.910156,2456860000
9-Feb-06,7974.910156,8041.040039,7974.910156,7980.169922,7980.169922,2441920000
10-Feb-06,7980.169922,7996.560059,7922.149902,7980,7980,2290050000
13-Feb-06,7980,7980,7927.47998,7947.799805,7947.799805,1850080000
14-Feb-06,7947.819824,8031.529785,7928.549805,8021.569824,8021.569824,2437940000
15-Feb-06,8021.540039,8046.399902,7978.120117,8019.759766,8019.759766,2317590000
16-Feb-06,8019.759766,8086.759766,8019.759766,8086.740234,8086.740234,2251490000
17-Feb-06,8086.759766,8100.439941,8070.339844,8092.419922,8092.419922,2128260000
21-Feb-06,8092.27002,8129.569824,8075.379883,8082.660156,8082.660156,2104320000
22-Feb-06,8082.640137,8131.720215,8081.740234,8128.200195,8128.200195,2222380000
23-Feb-06,8128.189941,8137.830078,8091.890137,8107.759766,8107.759766,2144210000
24-Feb-06,8107.759766,8140.5,8106.529785,8126.029785,8126.029785,1933010000
27-Feb-06,8126.029785,8156.279785,8126.029785,8139.669922,8139.669922,1975320000
28-Feb-06,8139.640137,8139.640137,8046.97998,8060.609863,8060.609863,2370860000
1-Mar-06,8060.450195,8133.660156,8060.450195,8130.629883,8130.629883,2308320000
2-Mar-06,8130.629883,8130.629883,8082.450195,8126.529785,8126.529785,2494590000
3-Mar-06,8126.529785,8165.049805,8096.25,8119.910156,8119.910156,2152950000
6-Mar-06,8119.910156,8131.200195,8054.02002,8067.439941,8067.439941,2280190000
7-Mar-06,8020.459961,8031.22998,7990.209961,8017.359863,8017.359863,2268050000
8-Mar-06,8017.319824,8033.319824,7963.339844,8026.089844,8026.089844,2442870000
9-Mar-06,8026.089844,8062.680176,8007.819824,8007.830078,8007.830078,2140110000
10-Mar-06,8007.790039,8084.549805,8000.700195,8079.240234,8079.240234,2123450000
13-Mar-06,8079.240234,8126.390137,8079.240234,8114.109863,8114.109863,2070330000
14-Mar-06,8114.100098,8200.519531,8109.040039,8197.599609,8197.599609,2165270000
15-Mar-06,8197.639648,8242.360352,8189.310059,8236.69043,8236.69043,2293000000
16-Mar-06,8236.700195,8281.200195,8236.700195,8261.919922,8261.919922,2292180000
17-Mar-06,8262.129883,8282.290039,8257.55957,8271.610352,8271.610352,2549620000
20-Mar-06,8271.580078,8290.19043,8250.980469,8255.639648,8255.639648,1976830000
21-Mar-06,8255.639648,8273.5,8194.929688,8199.839844,8199.839844,2147370000
22-Mar-06,8199.839844,8259.919922,8198.700195,8255.879883,8255.879883,2039810000
23-Mar-06,8255.80957,8255.80957,8204.389648,8227.040039,8227.040039,1980940000
24-Mar-06,8227.030273,8265.700195,8216.980469,8252.389648,8252.389648,2326070000
27-Mar-06,8252.379883,8252.379883,8216.769531,8232.019531,8232.019531,2029700000
28-Mar-06,8232.019531,8250.349609,8169.27002,8175.720215,8175.720215,2148580000
29-Mar-06,8175.720215,8258.05957,8175.720215,8249.379883,8249.379883,2143540000
30-Mar-06,8249.379883,8321.980469,8246.889648,8271.790039,8271.790039,2294560000
31-Mar-06,8271.860352,8271.860352,8223.240234,8233.200195,8233.200195,2236710000
3-Apr-06,8233.230469,8326.379883,8233.230469,8269.650391,8269.650391,2494080000
4-Apr-06,8269.650391,8330.339844,8265.019531,8324.75,8324.75,2147660000
5-Apr-06,8324.759766,8374.030273,8324.669922,8369.169922,8369.169922,2420020000
6-Apr-06,8369.169922,8369.169922,8317.379883,8359.820313,8359.820313,2281680000
7-Apr-06,8359.709961,8380.240234,8265.049805,8270.650391,8270.650391,2082470000
10-Apr-06,8270.679688,8307.799805,8268,8283.080078,8283.080078,1898320000
11-Apr-06,8282.790039,8308.849609,8198.549805,8214.459961,8214.459961,2232880000
12-Apr-06,8214.459961,8233.469727,8207.150391,8220.549805,8220.549805,1938100000
13-Apr-06,8220.55957,8234,8183.430176,8227.950195,8227.950195,1891940000
17-Apr-06,8227.94043,8269.419922,8223.419922,8242.150391,8242.150391,1794650000
18-Apr-06,8242.129883,8392.900391,8242.129883,8389.44043,8389.44043,2595440000
19-Apr-06,8389.429688,8431.25,8371.389648,8431.25,8431.25,2447310000
20-Apr-06,8431.219727,8458.830078,8390.639648,8422.129883,8422.129883,2512920000
21-Apr-06,8422.240234,8478.490234,8422.240234,8461.05957,8461.05957,2392630000
24-Apr-06,8461.05957,8461.05957,8414.530273,8440.589844,8440.589844,2117330000
25-Apr-06,8440.570313,8462.990234,8390.959961,8405.919922,8405.919922,2366380000
26-Apr-06,8405.94043,8464.269531,8405.94043,8429.860352,8429.860352,2502690000
27-Apr-06,8429.740234,8469.980469,8358.360352,8440.5,8440.5,2772010000
28-Apr-06,8440.5,8491.889648,8438.019531,8471.429688,8471.429688,2419920000
1-May-06,8471.429688,8524.230469,8456.490234,8461.75,8461.75,2437040000
2-May-06,8461.929688,8541.799805,8461.929688,8541.799805,8541.799805,2403470000
3-May-06,8541.759766,8541.799805,8471.320313,8497.230469,8497.230469,2395230000
4-May-06,8497.389648,8538.240234,8497.389648,8531.610352,8531.610352,2431450000
5-May-06,8531.620117,8634.879883,8531.620117,8632.94043,8632.94043,2294760000
8-May-06,8632.94043,8634.400391,8606.280273,8623.219727,8623.219727,2151300000
9-May-06,8623.219727,8651.740234,8619.379883,8646.959961,8646.959961,2157290000
10-May-06,8646.959961,8646.959961,8598,8631.589844,8631.589844,2268550000
11-May-06,8631.419922,8633.700195,8520.589844,8526.740234,8526.740234,2531520000
12-May-06,8526.759766,8526.759766,8408.549805,8411.259766,8411.259766,2567970000
15-May-06,8411.25,8411.25,8320.820313,8378.209961,8378.209961,2505660000
