Date,Price,Open,High,Low,Vol.,Change %
28-Nov-19,"1,702.52","1,694.70","1,702.52","1,689.91",79.03M,0.71%
27-Nov-19,"1,690.46","1,685.41","1,693.50","1,683.93",28.47M,0.12%
26-Nov-19,"1,688.38","1,682.65","1,690.18","1,681.60",29.31M,0.43%
25-Nov-19,"1,681.14","1,663.22","1,681.14","1,663.22",35.66M,1.27%
24-Nov-19,"1,660.08","1,660.34","1,662.39","1,657.63",12.11M,0.12%
21-Nov-19,"1,658.13","1,666.03","1,666.95","1,656.40",29.20M,-0.43%
20-Nov-19,"1,665.36","1,665.03","1,666.26","1,659.29",25.50M,-0.42%
19-Nov-19,"1,672.32","1,667.77","1,675.17","1,665.97",32.47M,0.39%
18-Nov-19,"1,665.78","1,675.00","1,676.92","1,663.93",42.97M,-0.50%
17-Nov-19,"1,674.09","1,677.70","1,679.23","1,673.71",15.25M,0.60%
14-Nov-19,"1,664.07","1,667.54","1,667.54","1,661.25",41.44M,0.33%
13-Nov-19,"1,658.65","1,659.29","1,662.47","1,653.46",48.09M,-0.01%
12-Nov-19,"1,658.85","1,656.61","1,658.85","1,650.96",25.35M,-0.08%
11-Nov-19,"1,660.21","1,661.77","1,663.61","1,658.11",37.51M,-0.44%
10-Nov-19,"1,667.47","1,671.31","1,673.15","1,665.41",24.13M,-0.08%
7-Nov-19,"1,668.76","1,670.10","1,670.10","1,662.78",55.65M,0.28%
6-Nov-19,"1,664.04","1,668.85","1,672.14","1,664.04",34.46M,-0.45%
5-Nov-19,"1,671.60","1,670.08","1,674.37","1,666.17",31.38M,0.20%
4-Nov-19,"1,668.24","1,670.20","1,677.01","1,668.24",27.29M,-0.01%
3-Nov-19,"1,668.33","1,663.16","1,669.08","1,661.85",19.81M,0.86%
31-Oct-19,"1,654.13","1,649.66","1,660.31","1,645.04",43.58M,0.06%
30-Oct-19,"1,653.10","1,659.43","1,662.93","1,651.70",21.13M,-0.47%
29-Oct-19,"1,660.83","1,658.73","1,661.22","1,654.94",34.41M,0.00%
28-Oct-19,"1,660.83","1,658.05","1,664.45","1,655.19",34.49M,0.17%
27-Oct-19,"1,658.05","1,659.76","1,661.34","1,655.40",15.25M,0.29%
24-Oct-19,"1,653.18","1,664.09","1,667.21","1,650.45",61.10M,0.01%
23-Oct-19,"1,653.06","1,652.48","1,662.52","1,647.85",46.83M,-0.20%
22-Oct-19,"1,656.41","1,662.31","1,662.85","1,654.66",41.00M,0.47%
17-Oct-19,"1,648.74","1,642.29","1,652.59","1,641.52",24.97M,-0.11%
16-Oct-19,"1,650.62","1,636.75","1,650.62","1,634.13",15.46M,1.21%
15-Oct-19,"1,630.81","1,628.32","1,632.08","1,626.99",20.58M,1.20%
10-Oct-19,"1,611.46","1,608.00","1,611.46","1,603.26",27.24M,-0.11%
7-Oct-19,"1,613.25","1,609.78","1,614.44","1,606.78",27.32M,-0.02%
6-Oct-19,"1,613.61","1,608.85","1,613.61","1,608.84",16.37M,1.49%
3-Oct-19,"1,589.87","1,606.13","1,606.13","1,589.87",37.79M,-0.81%
2-Oct-19,"1,602.89","1,610.65","1,611.51","1,597.32",37.38M,-0.78%
26-Sep-19,"1,615.48","1,628.39","1,628.39","1,614.67",74.87M,0.64%
25-Sep-19,"1,605.25","1,605.64","1,608.68","1,599.69",24.22M,-0.18%
24-Sep-19,"1,608.10","1,608.96","1,611.16","1,604.83",28.33M,0.07%
23-Sep-19,"1,606.92","1,615.00","1,618.88","1,605.78",31.96M,-0.27%
22-Sep-19,"1,611.21","1,609.54","1,611.21","1,606.71",10.34M,-0.63%
19-Sep-19,"1,621.49","1,616.81","1,625.47","1,613.50",51.48M,0.30%
18-Sep-19,"1,616.59","1,605.91","1,626.83","1,605.14",35.96M,0.49%
16-Sep-19,"1,608.77","1,604.84","1,608.77","1,597.17",28.19M,-0.02%
15-Sep-19,"1,609.16","1,613.12","1,615.92","1,609.13",12.15M,-0.40%
12-Sep-19,"1,615.61","1,614.10","1,617.80","1,607.28",60.39M,0.65%
11-Sep-19,"1,605.23","1,592.26","1,605.84","1,592.15",60.16M,1.29%
10-Sep-19,"1,584.80","1,578.06","1,585.57","1,574.37",71.53M,0.55%
9-Sep-19,"1,576.20","1,570.39","1,576.20","1,566.09",31.72M,0.26%
8-Sep-19,"1,572.16","1,576.21","1,577.63","1,571.57",19.71M,0.63%
5-Sep-19,"1,562.28","1,565.96","1,567.33","1,556.51",111.33M,0.25%
4-Sep-19,"1,558.45","1,555.55","1,563.92","1,555.47",45.53M,0.83%
3-Sep-19,"1,545.58","1,556.24","1,556.24","1,545.35",42.76M,-0.76%
2-Sep-19,"1,557.41","1,561.03","1,566.50","1,555.38",23.96M,-0.18%
1-Sep-19,"1,560.26","1,559.72","1,564.52","1,559.72",10.59M,-0.11%
29-Aug-19,"1,561.98","1,563.32","1,564.83","1,555.87",101.77M,1.46%
28-Aug-19,"1,539.45","1,545.17","1,547.31","1,532.68",47.79M,-0.75%
27-Aug-19,"1,551.03","1,561.43","1,563.24","1,547.55",40.91M,-0.36%
26-Aug-19,"1,556.56","1,544.27","1,562.18","1,543.54",28.07M,0.84%
25-Aug-19,"1,543.59","1,556.36","1,556.36","1,543.59",26.12M,-3.23%
22-Aug-19,"1,595.05","1,582.88","1,601.06","1,582.03",34.34M,0.24%
21-Aug-19,"1,591.28","1,580.84","1,594.96","1,580.84",26.60M,0.66%
20-Aug-19,"1,580.80","1,577.72","1,580.80","1,567.35",26.22M,0.27%
19-Aug-19,"1,576.47","1,564.44","1,576.47","1,555.32",43.79M,1.42%
18-Aug-19,"1,554.40","1,565.88","1,570.21","1,547.96",16.07M,0.08%
15-Aug-19,"1,553.21","1,563.96","1,572.87","1,542.26",63.77M,-0.72%
14-Aug-19,"1,564.42","1,611.39","1,612.43","1,561.35",92.13M,-2.89%
13-Aug-19,"1,611.03","1,595.65","1,611.03","1,590.66",33.22M,0.35%
12-Aug-19,"1,605.48","1,618.01","1,623.50","1,602.20",29.17M,-0.56%
8-Aug-19,"1,614.53","1,613.99","1,619.31","1,601.94",47.97M,1.87%
7-Aug-19,"1,584.84","1,599.37","1,613.38","1,576.77",44.55M,-1.10%
6-Aug-19,"1,602.45","1,596.89","1,611.39","1,591.08",57.84M,0.54%
5-Aug-19,"1,593.79","1,613.45","1,613.45","1,593.79",37.83M,-2.06%
4-Aug-19,"1,627.32","1,611.86","1,630.43","1,610.20",21.85M,-0.23%
1-Aug-19,"1,631.09","1,618.38","1,634.64","1,613.64",209.20M,0.41%
31-Jul-19,"1,624.42","1,616.78","1,626.37","1,616.70",45.58M,0.86%
30-Jul-19,"1,610.54","1,614.99","1,616.19","1,604.12",60.13M,-0.22%
29-Jul-19,"1,614.02","1,620.31","1,623.94","1,613.39",37.34M,-0.46%
28-Jul-19,"1,621.52","1,614.99","1,623.92","1,614.67",19.14M,0.75%
25-Jul-19,"1,609.52","1,620.17","1,621.65","1,604.28",97.31M,-0.06%
24-Jul-19,"1,610.49","1,592.04","1,611.23","1,590.01",45.92M,1.28%
23-Jul-19,"1,590.13","1,573.21","1,591.09","1,570.37",39.70M,1.27%
22-Jul-19,"1,570.13","1,567.49","1,574.22","1,567.49",24.34M,0.37%
21-Jul-19,"1,564.36","1,560.84","1,565.13","1,555.36",11.96M,0.00%
18-Jul-19,"1,564.30","1,570.34","1,572.08","1,560.83",41.56M,-0.66%
17-Jul-19,"1,574.62","1,588.69","1,591.82","1,574.49",30.93M,-1.11%
16-Jul-19,"1,592.36","1,598.94","1,599.89","1,590.15",36.23M,-0.41%
15-Jul-19,"1,598.93","1,602.88","1,606.11","1,595.93",30.58M,-0.37%
14-Jul-19,"1,604.82","1,608.95","1,609.74","1,604.39",7.38M,0.45%
11-Jul-19,"1,597.67","1,606.55","1,606.69","1,595.63",28.09M,-0.40%
10-Jul-19,"1,604.05","1,600.22","1,607.52","1,598.40",60.09M,0.25%
9-Jul-19,"1,600.05","1,589.36","1,600.05","1,587.60",40.86M,0.18%
8-Jul-19,"1,597.21","1,597.33","1,599.32","1,592.66",82.73M,-0.41%
7-Jul-19,"1,603.84","1,603.27","1,606.21","1,601.58",24.35M,-0.16%
4-Jul-19,"1,606.35","1,604.06","1,608.16","1,601.30",35.12M,0.30%
3-Jul-19,"1,601.59","1,597.64","1,604.06","1,595.34",42.93M,0.40%
2-Jul-19,"1,595.14","1,596.20","1,598.37","1,590.93",33.16M,0.07%
1-Jul-19,"1,594.02","1,601.76","1,605.99","1,593.78",43.58M,-0.25%
30-Jun-19,"1,598.05","1,591.54","1,598.35","1,591.54",26.25M,1.20%
27-Jun-19,"1,579.05","1,580.65","1,586.09","1,578.64",111.96M,0.36%
26-Jun-19,"1,573.37","1,567.67","1,579.39","1,567.58",38.43M,0.28%
25-Jun-19,"1,568.90","1,570.44","1,573.93","1,567.28",52.38M,-0.33%
24-Jun-19,"1,574.03","1,579.84","1,583.93","1,571.98",53.78M,-0.19%
23-Jun-19,"1,577.10","1,577.08","1,577.93","1,572.67",17.10M,0.06%
20-Jun-19,"1,576.19","1,577.92","1,582.43","1,576.19",91.33M,0.61%
19-Jun-19,"1,566.67","1,561.83","1,566.67","1,559.75",142.24M,0.25%
18-Jun-19,"1,562.74","1,550.00","1,565.04","1,543.08",58.70M,0.90%
17-Jun-19,"1,548.82","1,557.56","1,557.56","1,543.76",52.49M,-0.32%
16-Jun-19,"1,553.83","1,551.39","1,557.89","1,551.39",10.38M,-0.26%
13-Jun-19,"1,557.95","1,542.81","1,558.72","1,542.40",46.38M,0.98%
12-Jun-19,"1,542.77","1,543.00","1,545.36","1,540.76",67.11M,-0.71%
11-Jun-19,"1,553.85","1,559.87","1,560.36","1,551.99",44.07M,-0.38%
10-Jun-19,"1,559.80","1,557.90","1,559.80","1,553.38",44.48M,1.20%
6-Jun-19,"1,541.28","1,552.83","1,552.83","1,540.38",74.89M,-0.27%
5-Jun-19,"1,545.47","1,546.92","1,552.90","1,542.07",113.06M,0.30%
4-Jun-19,"1,540.82","1,526.72","1,543.34","1,525.74",54.76M,0.83%
3-Jun-19,"1,528.08","1,524.69","1,530.03","1,517.38",64.84M,0.26%
2-Jun-19,"1,524.06","1,523.05","1,524.09","1,517.19",25.58M,-1.32%
30-May-19,"1,544.44","1,547.59","1,549.32","1,537.25",120.93M,0.42%
29-May-19,"1,538.01","1,545.58","1,548.67","1,534.53",123.08M,-1.54%
28-May-19,"1,562.08","1,568.94","1,570.23","1,560.53",264.34M,-0.24%
27-May-19,"1,565.87","1,574.19","1,577.12","1,563.77",60.15M,-0.25%
26-May-19,"1,569.84","1,563.46","1,569.84","1,557.86",42.00M,0.38%
23-May-19,"1,563.97","1,576.07","1,576.07","1,563.88",65.40M,-1.13%
22-May-19,"1,581.82","1,569.78","1,581.82","1,566.97",57.93M,0.69%
21-May-19,"1,570.93","1,574.17","1,577.11","1,563.70",48.36M,0.61%
20-May-19,"1,561.42","1,574.21","1,577.66","1,554.33",52.09M,-0.70%
